Id,Location,Ranking,Percentile
"1219","Clearwater, FL","2932","0.0019801458635414"
"937822","Delray Beach, FL","3100","0.0020936057902382"
"1324","Satellite Beach, FL","3892","0.0026284883018088"
"1491","Pensacola, FL","3908","0.0026392940091132"
"258689","Miami, FL","4244","0.0028662138625068"
"19404","Miami, FL","4284","0.0028932281307679"
"262056","Hollywood, FL","5252","0.0035469734226875"
"13375","Orlando, FL","8060","0.0054433750546194"
"28567","Fort Myers, FL","11116","0.0075072651497704"
"216356","Pensacola, FL","13052","0.0088147557336095"
"319741","Tampa, FL","13396","0.0090470784406553"
"92602","Gainesville, FL","14332","0.0096792123179660"
"17162","Lauderdale-by-the-Sea, FL","14508","0.0097980750983150"
"27779","Tampa, FL","15084","0.0101870805612754"
"426422","Tampa, FL","17076","0.0115323911206801"
"88760","Tampa, FL","17420","0.0117647138277259"
"227523","St Petersburg, FL","17716","0.0119646194128583"
"64301","Orlando, FL","18852","0.0127318246314747"
"827297","Miami, FL","20124","0.0135908783621789"
"768804","Palm Harbor, FL","20172","0.0136232954840923"
"1093248","St. Petersburg, FL","20876","0.0140987466054883"
"55487","Fort Lauderdale, FL","21780","0.0147092690681900"
"166620","Tampa, FL","22212","0.0150010231654103"
"240439","Tampa, FL","22516","0.0152063316041950"
"2209048","Tallahassee, FL","26292","0.0177564785280465"
"480700","Miami, FL","26508","0.0179023555766567"
"491907","Delray Beach, FL","27484","0.0185615037222284"
"24146","Tallahassee, FL","29724","0.0200743027448522"
"735425","Orlando, FL","32820","0.0221652071082644"
"461108","Gainesville, FL","35492","0.0239697602281084"
"159470","Delray Beach, FL","36012","0.0243209457155032"
"1923699","Satellite Beach, FL","36804","0.0248558282270738"
"706421","Palm Beach County, FL","39540","0.0267036041761357"
"1187814","Naples, FL","43348","0.0292753625145961"
"1729869","Largo, FL","46980","0.0317282580727075"
"194227","Orlando, FL","51468","0.0347592589716073"
"99542","Weston, FL","55188","0.0372715859198932"
"36780","Orlando, FL","56500","0.0381576539188585"
"63437","Fleming Island, FL","58644","0.0396056186976556"
"195755","Orlando, FL","59876","0.0404376581600987"
"213259","Miami, FL","61532","0.0415560488661098"
"458333","Wekiva Springs, FL","70500","0.0476126478102571"
"1383785","Tampa, FL","71652","0.0483906587361779"
"28939","Naples, FL","71884","0.0485473414920925"
"421190","Fort Walton Beach, FL","77436","0.0522969219267386"
"20385","Tallahassee, FL","78940","0.0533126584133574"
"234305","Dunedin, FL","79652","0.0537935123884057"
"1306982","Gainesville, FL","80556","0.0544040348511074"
"684602","Orlando, FL","81460","0.0550145573138092"
"76924","Jacksonville Beach, FL","83308","0.0562626165074738"
"53195","Atlantis, FL","83396","0.0563220478976483"
"2855935","Clearwater, FL","83764","0.0565705791656508"
"643761","Miami, FL","84636","0.0571594902137436"
"3475992","Jupiter, FL","88324","0.0596502057474206"
"1120103","South Beach, FL","89276","0.0602931453320357"
"83256","Tampa, FL","90564","0.0611630047700444"
"642231","Orlando, FL","90852","0.0613575075015246"
"217858","Orlando, FL","91308","0.0616654701597016"
"24835","Boca Raton, FL","91340","0.0616870815743105"
"621","Miami, FL","97268","0.0656905961306112"
"535403","Tampa, FL","97692","0.0659769473741793"
"855147","Gainesville, FL","98452","0.0664902184711409"
"680563","Jacksonville, FL","98588","0.0665820669832288"
"1206031","Homestead, FL","102164","0.0689971425657746"
"1005127","Tampa, FL","104140","0.0703316474178749"
"1564317","Tampa Bay, FL","107436","0.0725576231225927"
