Id,Location,Ranking,Percentile
"2970947","Atlanta, GA","736","0.0004970625360049"
"60","Atlanta, GA","1128","0.0007618023649641"
"13161","Athens, GA","3624","0.0024474927044591"
"373378","Atlanta, GA","5048","0.0034092006545557"
"345415","Atlanta, GA","5816","0.0039278746051695"
"477480","Atlanta, GA","7184","0.0048517625797005"
"184112","Hoschton, GA","8656","0.0058458876517104"
"1171761","Canton, GA","9672","0.0065320500655433"
"212275","Atlanta, GA","9864","0.0066617185531968"
"135844","Atlanta, GA","10784","0.0072830467232030"
"130641","Atlanta, GA","11304","0.0076342322105978"
"252676","Atlanta, GA","14040","0.0094820081596597"
"63","Atlanta, GA","14448","0.0097575536959233"
"1015071","Decatur, GA","15328","0.0103518675976683"
"1365913","Atlanta, GA","15376","0.0103842847195817"
"67521","Atlanta, GA","15568","0.0105139532072352"
"1303896","Atlanta, GA","16008","0.0108111101581077"
"6645","Grayson, GA","17624","0.0119024865958577"
"36924","Conyers, GA USA","19384","0.0130911143993478"
"27555","Holly Springs, GA","20192","0.0136368026182228"
"1745544","Atlanta, GA","20288","0.0137016368620496"
"95462","Atlanta, GA, United States","21392","0.0144472306660570"
"1052673","Atlanta, GA, United States","24632","0.0166353863952092"
"33342","Atlanta, GA","27312","0.0184453423687055"
"10522","Atlanta, GA","27576","0.0186236365392291"
"2572","Atlanta, GA","29000","0.0195853444893256"
"132464","Atlanta, GA","32096","0.0216762488527377"
"2212650","Atlanta, GA","35160","0.0237455418015410"
"38613","Columbus, GA","38184","0.0257878204820831"
"255528","Athens, GA","40536","0.0273762594558380"
"884373","Atlanta, GA","45720","0.0308773086224816"
"2123899","Atlanta, GA","45976","0.0310501999393529"
"514","Atlanta, GA","46928","0.0316931395239680"
"486720","Atlanta, GA","54248","0.0366367506157564"
"216135","Atlanta, GA","56280","0.0380090754434223"
"13714","Atlanta, GA","57248","0.0386628207353418"
"212469","Atlanta, GA","60480","0.0408455736108419"
"2286","Atlanta, GA","66008","0.0445789454845312"
"93964","Atlanta, GA","70640","0.0477071977491711"
