Id,Location,Ranking,Percentile
"143305","Chicago, IL","133","0.0000898224419682"
"594235","Chicago, IL","989","0.0006679277827566"
"112","Chicago, IL","4213","0.0028452778046044"
"151084","Chicago, IL","4605","0.0031100176335636"
"261122","Chicago, IL","5085","0.0034341888526972"
"18196","Chicago, IL","6453","0.0043580768272282"
"2063","Chicago, IL","8365","0.0056493588501106"
"512715","Champaign, IL, USA","8741","0.0059032929717653"
"1174001","Lisle, IL","9437","0.0063733412395091"
"1281879","Evanston, IL","9501","0.0064165640687269"
"199217","Urbana, IL","9757","0.0065894553855982"
"90413","Chicago, IL","11197","0.0075619690429992"
"560148","Chicago, IL","12093","0.0081670886520487"
"1447","Chicago, IL","15437","0.0104254814786800"
"22724","Chicago, IL","15805","0.0106740127466824"
"832776","Chicago, IL","16389","0.0110684210632951"
"865552","Chicago, IL","16653","0.0112467152338186"
"749622","Chicago, IL","17677","0.0119382805013037"
"499430","Chicago, IL","17789","0.0120139204524349"
"680420","Rockford, IL","18917","0.0127757228173990"
"500202","Chicago, IL","19205","0.0129702255488792"
"318","Elgin, IL","19389","0.0130944911828805"
"2221001","Waukegan, IL","20853","0.0140832134012381"
"13532","Chicago, IL","20893","0.0141102276694993"
"44737","Lostant, IL","22933","0.0154879553508174"
"1437399","Campton Hills, IL, USA","23133","0.0156230266921231"
"1028953","Chicago, IL","25381","0.0171412285683991"
"678708","Chicago, IL","25781","0.0174113712510105"
"226081","Chicago, IL","27461","0.0185459705179783"
"8508","Chicago, IL","27885","0.0188323217615464"
"654480","Chicago, IL","27909","0.0188485303225030"
"2154673","Carol Stream, IL","30309","0.0204693864181714"
"2066","Chicago, IL","31677","0.0213932743927023"
"361762","Evanston, IL","37365","0.0252347033394363"
"1937064","Chicago, IL","38189","0.0257911972656157"
"1082038","Libertyville, IL","38989","0.0263314826308385"
"77972","Chicago, IL","40901","0.0276227646537209"
"1634513","Chicago, IL","41725","0.0281792585799004"
"72280","Chicago, IL","43445","0.0293408721151294"
"834528","Champaign, IL","43605","0.0294489291881739"
"29326","Chicago, IL","45877","0.0309833396254066"
"551436","Antioch, IL","47093","0.0318045733805452"
"1344459","Chicago, IL","47957","0.0323880815749858"
"704238","Moline, IL","49013","0.0331012582570799"
"251665","Chicago, IL","49925","0.0337171835734338"
"431079","Chicago, IL","51941","0.0350787026937952"
"1306872","Chicago, IL","56013","0.0378287552027792"
"175263","Chicago, IL","58461","0.0394820284203609"
"129116","Chicago, IL","58541","0.0395360569568832"
"64358","Chicago, IL","58989","0.0398386167614079"
"69032","Chicago, IL","59333","0.0400709394684537"
"1461923","Chicago, IL","60157","0.0406274333946332"
"375570","Naperville, IL","60717","0.0410056331502891"
"3295190","Chicago, IL","60981","0.0411839273208126"
"566407","Chicago, IL","61317","0.0414108471742062"
"784925","Chicago, IL","62885","0.0424698064900428"
"50541","Chicago, IL","65181","0.0440204254882322"
"868691","Chicago, IL","68085","0.0459816613639909"
"461983","Chicago, IL","74981","0.0506389212122112"
"1070293","Berwyn, IL","76429","0.0516168377232644"
"814593","Brasília, DF, BRAZIL","76629","0.0517519090645701"
"318944","Chicago, IL","77421","0.0522867915761407"
"1636560","Chicago, IL","78541","0.0530431910874526"
