Id,Location,Ranking,Percentile
"59541","Bloomington, IN","4184","0.0028256924601151"
"22211","Indianapolis, IN","4200","0.0028364981674195"
"227436","Indianapolis, IN","7088","0.0047869283358738"
"23915","Indianapolis, IN","7736","0.0052245594817042"
"171490","Indianapolis, IN","8008","0.0054082565058799"
"724357","New Albany, IN","11112","0.0075045637229443"
"1056289","Bangalore, IN","14160","0.0095630509644431"
"623683","Indianapolis, IN","14688","0.0099196393054901"
"91632","Lafayette, IN","16656","0.0112487413039382"
"981616","IND","20624","0.0139285567154431"
"906878","Indianapolis, IN","20968","0.0141608794224889"
"1453907","Bloomington, IN","21408","0.0144580363733615"
"195596","Indianapolis, IN","22328","0.0150793645433676"
"507770","West Lafayette, IN","24664","0.0166569978098182"
"727652","Indianapolis, IN","32264","0.0217897087794345"
"12604","Jeffersonville, IN","39248","0.0265064000178294"
"93191","Indianapolis, IN","55784","0.0376740985169842"
"258954","Fort Wayne, IN","66640","0.0450057709230572"
"209275","Brownsburg, IN","83488","0.0563841807146489"
"370825","Indianapolis, IN","87824","0.0593125273941564"
"195562","Indianapolis, IN","96568","0.0652178464360413"
"38660","Lafayette, IN","105232","0.0710691369414040"
"1549185","Indianapolis, IN, USA","107032","0.0722847790131552"
"1497579","Indianapolis, IN","108472","0.0732572926705562"
"13355","Indianapolis, IN","109304","0.0738191894503879"
"1763551","Noblesville, IN","113232","0.0764719905936317"
"73857","Indianapolis, IN","113504","0.0766556876178075"
"86412","Indianapolis, IN","114368","0.0772391958122481"
"306869","Indianapolis, IN","123936","0.0837010087803125"
"367464","Indiana University-Bloomington, IN","128392","0.0867103982646034"
"924018","Zionsville, IN","142960","0.0965489947653101"
"1589666","Shimla, INDIA","143176","0.0966948718139203"
"3310890","Indianapolis, IN","147080","0.0993314643962074"
"2171476","Indianapolis, IN","148000","0.0999527925662136"
"732598","Indianapolis, IN","151256","0.1021517540026703"
"1741683","Fort Wayne, IN","154352","0.1042426583660825"
"143058","Mooresville, IN","160016","0.1080678787518597"
"223029","Indianapolis, IN","164216","0.1109043769192793"
"174593","Indianapolis, IN","166104","0.1121794503812050"
"89781","Poland, IN","182832","0.1234768173680133"
"335675","Indianapolis, IN","189016","0.1276532232411854"
"2284841","South Bend, IN","193480","0.1306680155791285"
"825084","Fort Wayne, IN","195184","0.1318188234070530"
"538379","West Lafayette, IN","207240","0.1399609238609602"
"3254692","Indianapolis, IN","220320","0.1487945895823526"
"341286","Indianapolis, IN","230544","0.1556994365498997"
"192514","Indianapolis, IN","233016","0.1573689183284381"
"1539440","Bloomington, IN","234960","0.1586818117659294"
"97958","Indianapolis, IN","262560","0.1773216568661152"
"876962","West Lafayette, IN","265744","0.1794719926197019"
"3362687","Carmel, IN","268888","0.1815953141050274"
