Id,Location,Ranking,Percentile
"10397","Rochester Hills, MI","176","0.0001188627803490"
"402547","Ann Arbor, MI","9432","0.0063699644559765"
"842685","Grand Rapids, MI","12120","0.0081853232831250"
"645","Flint, MI","13088","0.0088390685750446"
"979007","Detroit, MI","13712","0.0092604911599183"
"1373932","MI","13768","0.0092983111354839"
"117350","Grand Rapids, MI","14440","0.0097521508422711"
"21365","Ann Arbor, MI","14832","0.0100168906712302"
"24267","Ann Arbor, MI","19704","0.0133072285454369"
"201225","Ann Arbor, MI","25080","0.0169379461997340"
"253254","Grand Rapids, MI","26520","0.0179104598571350"
"1370927","Royal Oak, MI","27304","0.0184399395150533"
"133621","Grand Rapids, MI","31832","0.0214979546822142"
"255308","Ann Arbor, MI","39304","0.0265442199933950"
"20153","Detroit, MI","43968","0.0296940836726437"
"407249","Canton, MI","57328","0.0387168492718641"
"99127","Royal Oak, MI","62120","0.0419531586095485"
"5464","Ann Arbor, MI","64256","0.0433957205346934"
"162436","Ann Arbor, MI","64384","0.0434821661931290"
"763010","Ann Arbor, MI","69976","0.0472587608960362"
"712655","Detroit, MI","70152","0.0473776236763852"
"7001","Grand Rapids, MI","73456","0.0496090022347553"
"242129","Ann Arbor, MI","74608","0.0503870131606761"
"13264","Grand Rapids, MI","87608","0.0591666503455462"
"120909","Grosse Pointe, MI","87928","0.0593827644916353"
"669642","Farmington Hills, MI","91496","0.0617924372205289"
"111856","Ann Arbor, MI","94096","0.0635483646575029"
"941031","Dearborn, MI","99224","0.0670115938485809"
"90764","Kalamazoo, MI","100472","0.0678544390183285"
"34409","Grand Rapids, MI","103664","0.0700101776255673"
"74033","Grand Rapids, MI","105136","0.0710043026975772"
"157110","Ann Arbor, MI","106928","0.0722145419156763"
"176898","Vicksburg, MI","111080","0.0750186229611825"
"214242","Detroit, MI","114800","0.0775309499094684"
"133800","Detroit, MI","117056","0.0790545546393966"
"2448829","Greater Detroit Area, MI","123384","0.0833282118783088"
"468665","Ann Arbor, MI","124560","0.0841224313651863"
"147589","Grand Rapids, MI","126808","0.0856406332414623"
"194147","Ann Arbor, MI","129728","0.0876126748245254"
"1140038","Farmington Hills, MI","132968","0.0898008305536776"
"1861766","Rochester Hills, MI","142128","0.0959870979854784"
"250729","Grand Rapids, MI","142288","0.0960951550585230"
"3711699","East Lansing, MI","142544","0.0962680463753943"
"1197986","Detroit, MI","143168","0.0966894689602680"
"559587","Holland, MI","145200","0.0980617937879339"
"1104","Detroit, MI","150208","0.1014439801742285"
"1797103","Detroit, MI","151592","0.1023786738560639"
"1053954","Detroit, MI","152640","0.1030864476845057"
"1375752","Detroit, MI","155680","0.1051395320723523"
"257816","Grand Rapids, MI","156296","0.1055555518035738"
"358675","Ann Arbor, MI","157912","0.1066469282413238"
"3779669","Ann Arbor, MI","158536","0.1070683508261976"
"160154","Ann Arbor, MI","169424","0.1144216346468796"
"470646","Dearborn, MI","176776","0.1193868571532769"
"667525","Ann Arbor, MI","191552","0.1293659278489416"
"2533005","MInsk","202096","0.1364868889625778"
"1504611","Sterling Heights, MI","208384","0.1407335319332288"
"1324884","Ann Arbor, MI","210392","0.1420896481999380"
"1401255","Detroit, MI","211232","0.1426569478334219"
"448732","East Lansing, MI","215432","0.1454934460008414"
"66217","Berrien Springs, MI","217312","0.1467631166091150"
"310540","Ann Arbor, MI","217728","0.1470440649990308"
"45824","Saginaw, MI","221456","0.1495617948009690"
"534340","West Bloomfield, MI","223056","0.1506423655314145"
"328129","Grand Rapids, MI","224560","0.1516581020180333"
"2100492","Grand Rapids, MI","225184","0.1520795246029071"
"1380613","Grand Rapids, MI","234024","0.1580496778886188"
"38151","Warren, MI","237184","0.1601838050812487"
"1945983","Kalamazoo, MI","237320","0.1602756535933366"
"3639201","Ann Arbor, MI","238432","0.1610266502509963"
"1765753","Ann Arbor, MI","246928","0.1667644808296622"
"658944","Lansing, MI","248424","0.1677748144626287"
"690454","Ann Arbor, MI","254480","0.1718647746773652"
"113304","Zeeland, MI","260880","0.1761870575991474"
"747605","Sterling-Heights, MI","269168","0.1817844139828553"
"105935","Detroit, MI","278040","0.1877761786831759"
"715685","Grand Rapids, MI","278888","0.1883488811703121"
"259451","Grand Rapids, MI","279096","0.1884893553652700"
"69628","Ann Arbor, MI","285280","0.1926657612384421"
"1466862","St. Joseph, MI","285968","0.1931304066525337"
"776750","Michigan State University, MI","286584","0.1935464263837552"
"1193178","Ann Arbor, MI","288824","0.1950592254063790"
"2483878","Detroit, MI","292816","0.1977552493788406"
"730138","MIT CSAIL","296784","0.2004350647903456"
"269519","Metro Detroit, MI","299880","0.2025259691537577"
"2283250","Detroit, MI","301232","0.2034390514209842"
"599048","Grand Rapids, MI","304408","0.2055839843209187"
"875245","MI","305464","0.2062971610030127"
"2887872","Ann Arbor, MI","309224","0.2088365022195598"
"742133","Ann Arbor, MI","310688","0.2098252244379174"
"228442","Fruitport, MI","311848","0.2106086382174905"
"481427","Ann Arbor, MI","317400","0.2143582186521365"
"2189688","POLLACHI,COIMBATORE,TAMIL NADU,INDIA","320528","0.2164707344301576"
"82101","Ann Arbor, MI","326152","0.2202689405476737"
"1219502","Ann Arbor, MI","341016","0.2303074426335129"
"3436086","Royal Oak, MI","341896","0.2309017565352580"
"1628710","Ann Arbor, MI","346312","0.2338841317512877"
"446759","East Lansing, MI","348736","0.2355211964079127"
"770292","Holt, MI","350816","0.2369259383574919"
"119283","Ann Arbor, MI","370208","0.2500224556104920"
"2151899","Detroit, MI","375216","0.2534046419967866"
"2743893","Royal Oak, MI","375360","0.2535018933625267"
"518963","Sterling Heights, MI","405144","0.2736167175097707"
"3033129","Grand Rapids, MI","405856","0.2740975714848189"
"1740065","Grand Rapids, MI","414960","0.2802460189410541"
"205230","Lansing, MI","415776","0.2807971100135814"
"4755","Grand Rapids, MI","420920","0.2842711449119638"
"625972","Grand Rapids, MI","432720","0.2922403540489998"
"796425","Royal Oak, MI","439096","0.2965464284098253"
"2558739","Ann Arbor, MI","447344","0.3021167705252721"
"664717","Manchester, MI","464560","0.3137437115848663"
"270856","East Lansing, MI","480248","0.3243387075968849"
"2162653","Detroit, MI","480840","0.3247385187671498"
"2023897","Hastings, MI","495584","0.3346959780482056"
"2895762","Auburn Hills, MI","495824","0.3348580636577724"
"465925","Shelby Twp, MI","539032","0.3640388762334546"
"1712597","Ann Arbor, MI","545240","0.3682314906675833"
"2097647","Grand Rapids, MI","551384","0.3723808822724942"
"1364432","Detroit, MI","564400","0.3811713251646688"
"80668","Dexter, MI","570664","0.3854017595743631"
"2154086","Rochester, MI","582552","0.3934304001015736"
"996096","Clinton Township MI","594656","0.4016049176773942"
"1769550","Clare, MI","603856","0.4078181993774561"
