Id,Location,Ranking,Percentile
"14069","St Louis, MO","1864","0.0012588649009690"
"787893","Liberty, MO","4024","0.0027176353870705"
"703229","St. Louis, MO","6272","0.0042358372633465"
"2029566","St. Louis, MO","11840","0.0079962234052970"
"2495576","St Louis, MO","15824","0.0106868445241065"
"1907","St. Louis, MO","24088","0.0162679923468578"
"669574","St Louis, MO","24560","0.0165867607123392"
"586518","St. Louis, MO","29040","0.0196123587575867"
"53192","Billings, MO","37864","0.0255717063359940"
"136542","St Louis, MO","38384","0.0259228918233888"
"718003","Joplin, MO","42224","0.0285162615764581"
"477513","St. Louis, MO","42744","0.0288674470638529"
"173355","St Louis, MO","42816","0.0289160727467230"
"4065318","St. Louis MO","51752","0.0349510602762614"
"2019426","Senath, MO","55768","0.0376632928096797"
"128319","St Louis, MO","56880","0.0384142894673394"
"2076","St. Louis, MO","57472","0.0388141006376042"
"731285","St. Louis, MO","59952","0.0404889852697948"
"1212550","Kansas City, MO","61504","0.0415371388783270"
"223147","St Louis, MO","63072","0.0425960981941637"
"285371","St Louis, MO","65600","0.0443033999482676"
"127010","Kansas City, MO","65880","0.0444924998260956"
"207415","St Louis, MO","73536","0.0496630307712776"
"185909","Smithville, MO","74608","0.0503870131606761"
"152236","St Louis, MO","76464","0.0516404752079929"
"468405","St Louis, MO","76592","0.0517269208664286"
"15918","Liberty, MO","80520","0.0543797220096724"
"19452","St Louis, MO","83952","0.0566975462264781"
"368714","St Louis, MO","85104","0.0574755571523989"
"447186","St. Louis, MO","97232","0.0656662832891762"
"802077","Kansas City, MO","98064","0.0662281800690079"
"211601","Kansas City, MO","107352","0.0725008931592443"
"74100","Chesterfield, MO","108640","0.0733707525972530"
"1272678","St. Louis, MO","118784","0.0802215710282778"
"228129","Kansas City, MO","118856","0.0802701967111479"
"97811","Kansas City, MO","133248","0.0899899304315056"
"1158","Kansas City, MO","146072","0.0986507048360267"
"80525","St Louis, MO","146576","0.0989910846161171"
"566307","Ferguson, MO","150232","0.1014601887351852"
"397408","Springfield, MO","153728","0.1038212357812087"
"3108601","Columbia, MO","153976","0.1039887242444278"
"571000","St. Joseph, MO","168344","0.1136922494038288"
"396943","Kansas City, MO","190096","0.1283826084842361"
"158755","St Louis, MO","206112","0.1391991214959961"
"1416507","St. Louis, MO","207760","0.1403121093483550"
"639893","Rolla, MO - MST","207960","0.1404471806896607"
"1193268","Kansas City, MO","208584","0.1408686032745345"
"1382648","St. Louis, MO","210808","0.1423705965898538"
"1566724","Blue Springs, MO","214512","0.1448721178308353"
"201297","Columbia, MO","216800","0.1464173339753724"
"385986","St Louis, MO","222384","0.1501885258246274"
"1887149","St. Louis, MO","223656","0.1510475795553316"
"558929","St Louis, MO","224896","0.1518850218714269"
"655543","Columbia, MO","246080","0.1661917783425260"
"2695218","St. Louis, MO","248688","0.1679531086331523"
"1739039","St. Louis, MO","250216","0.1689850536807278"
"1653104","Kansas City, MO","255520","0.1725671456521548"
"2221758","St. Louis, MO","267928","0.1809469716667600"
"1417","St Louis, MO","270488","0.1826758848354729"
"1098768","Columbia, MO","276832","0.1869603477816895"
"250077","Columbia, MO","285680","0.1929359039210535"
"25556","St Louis, MO","293968","0.1985332603047614"
"747761","Springfield, MO","294960","0.1992032141576377"
"2909678","St. Louis, MO","300696","0.2030770602262850"
"105824","St Louis, MO","315928","0.2133640935801266"
"1710264","St. Louis, MO","321032","0.2168111142102479"
"704496","St Louis, MO","321736","0.2172865653316440"
"1169644","Kansas City, MO","326136","0.2202581348403693"
"651768","Kansas City, MO","327360","0.2210847714491601"
"2128265","Kansas City, MO","328144","0.2216142511070784"
"1775548","Kansas City, MO","341272","0.2304803339503842"
"296333","St Louis, MO","342192","0.2311016621203904"
"1048669","Springfield, MO","357496","0.2414373211571021"
"157846","St Louis, MO","361416","0.2440847194466937"
"468586","St Louis, MO","386912","0.2613036140363436"
"1062850","Kansas City, MO","394104","0.2661607794696964"
"263717","Kansas City, MO","434896","0.2937099302424057"
"3204419","KC, MO","436424","0.2947418752899812"
"185869","St. Louis, MO","452944","0.3058987680818316"
"1574413","Humansville, MO","458416","0.3095943199799554"
"93531","St Louis, MO","464936","0.3139976457065210"
"1758121","Saint Louis, MO","493640","0.3333830846107142"
"824383","Saint Louis, MO","498792","0.3368625223627489"
"335696","California, MO","500176","0.3377972160445843"
"227240","St Louis, MO","504280","0.3405688799681771"
"6000","St Louis, MO","516536","0.3488460517633901"
"3444581","Kansas City, MO","550120","0.3715272313954422"
"506127","St Louis, MO","550440","0.3717433455415313"
"1073739","Kansas City, MO","594952","0.4018048232625266"
"591027","St Louis, MO","621912","0.4200124400705342"
"389032","St Louis, MO","622600","0.4204770854846258"
"679704","Bruner, MO","626176","0.4228921610671716"
"2072571","St. Louis, MO","626304","0.4229786067256072"
"4028855","St. Louis, MO","633152","0.4276034494519142"
"731611","St. Louis, MO","670480","0.4528131645932090"
"1861027","Kansas City, MO","674744","0.4556928855898464"
"1456943","St. Louis, MO","676768","0.4570598075638600"
"1146581","St. Louis, MO","688528","0.4650020024326348"
"686128","St Louis, MO","688920","0.4652667422615940"
"2509553","Kansas City, MO","697632","0.4711504498888700"
"259646","Columbia, MO","700048","0.4727821116918428"
"239703","St Louis, MO","710072","0.4795518873180842"
"1710525","Columbia, MO","754528","0.5095755450635139"
"1028329","Kansas City, MO","758008","0.5119257864022329"
"379508","St Louis, MO","772232","0.5215320601958939"
"630603","Billings, MO","775536","0.5237634387542640"
"3862617","Rolla, MO","790624","0.5339532207423655"
"1417679","Saint Louis, MO","832008","0.5619021826853398"
"2008011","Kansas City, MO","834904","0.5638580157074462"
"1472497","Kansas City, MO","849432","0.5736695979398919"
"2327082","St. Louis, MO","850824","0.5746096944753795"
"1652649","Kansas City, MO","852360","0.5756470423766072"
"1715868","Kansas City, MO","890320","0.6012835829564280"
"3993234","St. Louis, MO","906136","0.6119650246268823"
"3542897","St. Louis, MO","915168","0.6180648464002474"
"3836843","FOM institute AMOLF, Amsterdam, The Netherlands","919992","0.6213227671525407"
"1054159","St. Louis, MO","929544","0.6277737744133007"
"3178194","MO","948544","0.6406055518373416"
"202800","St Louis, MO","963272","0.6505522054110930"
"2253477","Kansas City, MO","982712","0.6636811397860064"
"978667","Kansas City, MO","1014640","0.6852439287120474"
"125412","Kansas City, MO","1029912","0.6955579763341502"
"2030345","Springfield, MO","1038968","0.7016740066684721"
"2355796","Kansas City, MO","1042816","0.7042727792751936"
