Id,Location,Ranking,Percentile
"1288","Charlotte, NC","102","0.0000688863840659"
"97337","Raleigh, NC","238","0.0001607348961537"
"78182","Raleigh, NC","1654","0.0011170399925980"
"186848","Cary, NC","5806","0.0039211210381043"
"697370","Raleigh, NC","5910","0.0039913581355832"
"1424361","Durham, NC","6822","0.0046072834519372"
"1133199","Raleigh, NC","7742","0.0052286116219434"
"15454","Hendersonville, NC","9046","0.0061092767672565"
"145","Chapel Hill, NC","9702","0.0065523107667392"
"12267","Greensboro, NC","10406","0.0070277618881352"
"240337","Winston-Salem, NC","11702","0.0079030241797961"
"1464084","Charlotte, NC","12126","0.0081893754233642"
"1736623","Raleigh, NC","15998","0.0108043565910424"
"51782","Apex, NC","16918","0.0114256847610486"
"443554","Charlotte, NC","19558","0.0132086264662838"
"2072693","Charlotte, NC","21614","0.0145971598549063"
"903137","Durham, NC","24342","0.0164395329503160"
"1276124","Durham, NC","28014","0.0189194427766885"
"61092","Durham, NC","32702","0.0220855150168940"
"799737","Raleigh, NC","34606","0.0233713941861242"
"836756","Charlotte, NC","34670","0.0234146170153420"
"2879838","Cary, NC","39566","0.0267211634505054"
"1269097","Charlotte, NC","40078","0.0270669460842480"
"278005","Raleigh, NC","40190","0.0271425860353792"
"85248","Asheville, NC","41414","0.0279692226441700"
"35229","Chapel Hill, NC","41750","0.0281961424975636"
"277140","Raleigh, NC","43678","0.0294982302277505"
"67605","Huntersville, NC","50094","0.0338313188568372"
"19215","Chapel Hill, NC","53862","0.0363760629270364"
"535198","Raleigh, NC","55646","0.0375808992914832"
"59084","Raleigh, NC","59478","0.0401688661909003"
"183328","Charlotte, NC","60782","0.0410495313362135"
"389453","Cary, NC","61086","0.0412548397749981"
"236562","Winston-Salem, NC","64102","0.0432917156018880"
"324992","Raleigh, NC","75830","0.0512122990560539"
"406281","Raleigh, NC","76054","0.0513635789583163"
"963080","Greensboro, NC","78118","0.0527575152005910"
"836695","Chapel Hill, NC","79686","0.0538164745164277"
"384915","Asheville, NC","81630","0.0551293679539190"
"2406472","Charlotte, NC","83694","0.0565233041961938"
"316836","Raleigh, NC","84742","0.0572310780246356"
"994206","Chapel Hill, NC","87398","0.0590248254371752"
"2057543","SOUTH FRANCE FTW","95078","0.0642115649433139"
"469130","Durham, NC","97574","0.0658972552828089"
"98601","Raleigh, NC","99614","0.0672749829641270"
"236475","Durham, NC","104086","0.0702951781557223"
"2611739","Charlotte, NC","105086","0.0709705348622508"
"223520","Raleigh, NC","105614","0.0713271232032979"
"336422","Leicester, NC","106126","0.0716729058370404"
"1625547","Charlotte, NC","106286","0.0717809629100850"
"514128","Rolesville, NC","112110","0.0757142403689068"
"2970443","Asheville, NC","112510","0.0759843830515182"
"223910","Charlotte, NC","114862","0.0775728220252731"
"1106516","Boone NC","118830","0.0802526374367781"
"163922","Asheville, NC","128582","0.0868387160388438"
"72374","Apex, NC","128886","0.0870440244776284"
"26345","Raleigh, NC","132142","0.0892429859140851"
"598331","Charlotte, NC","139678","0.0943324740544837"
"443663","Angier, NC","144774","0.0977740918309528"
"561829","Raleigh, NC","147710","0.0997569391213204"
"733862","Raleigh, NC","152814","0.1032039597514417"
"1428232","Raleigh, NC","153206","0.1034686995804008"
"472591","Hillsborough, NC","154294","0.1042034876771038"
"415646","Raleigh, NC","160270","0.1082394193553179"
"3771555","Cary, NC","160910","0.1086716476474962"
"6171","Raleigh, NC","165766","0.1119511798143984"
"900502","Raleigh, NC","167902","0.1133937417395432"
"1675890","Charlotte, NC","170790","0.1153441719079975"
"609826","NC","172438","0.1164571597603564"
"27868","Raleigh, NC","175582","0.1185804812456819"
"4067275","Charlotte, NC","176902","0.1194719520982995"
"104331","Cary, NC","184502","0.1246046630679158"
"829768","Durham, NC","186678","0.1260742392613218"
"1403599","Cary, NC","189334","0.1278679866738614"
"143184","Chapel Hill, NC","190118","0.1283974663317797"
"2238544","Asheville, NC","190830","0.1288783203068280"
"213193","Greensboro, NC","190902","0.1289269459896981"
"2246727","Charlotte, NC","191254","0.1291646715503961"
"1506715","Charlotte, NC","193350","0.1305802192072798"
"286801","Cary, NC","193454","0.1306504563047587"
"54007","Hendersonville, NC","194702","0.1314933014745062"
"1918878","Delhi/ghaziabad/NCR","199614","0.1348106536169741"
"2644441","NCC-1701D","202142","0.1365179553710781"
"358004","Raleigh, NC","212454","0.1434822337287997"
"117594","Raleigh, NC","214654","0.1449680184831623"
"661206","Cary, NC","215134","0.1452921897022960"
"4814","Apex, NC","218038","0.1472534255780546"
"784304","Carrboro, NC","220382","0.1488364616981574"
"1246069","Raleigh, NC","222158","0.1500358952089519"
"1110311","Charlotte, NC","222550","0.1503006350379111"
"2855829","Asheville, NC","226390","0.1528940047909804"
"673167","Raleigh, NC, USA","227382","0.1535639586438567"
"2452678","Raleigh, NC","230878","0.1559250056898802"
"2250029","Greensboro, NC","233358","0.1575998903220708"
"1883111","Durham, NC","238806","0.1612792336592379"
"906385","Durham, NC","245030","0.1654826538006711"
"30864","Durham, NC","245686","0.1659256878001538"
"500874","Charlotte, NC","246470","0.1664551674580721"
"804682","Raleigh, NC","246886","0.1667361158479880"
"1243437","Charlotte, NC","248134","0.1675789610177355"
"1496528","Raleigh, NC","250206","0.1689783001136625"
"1022260","Raleigh, NC","251806","0.1700588708441080"
"697026","Durham, NC","261382","0.1765260866658247"
"1715373","Charlotte, NC","273782","0.1849005098267777"
"665028","Charlotte, NC","280726","0.1895901867969114"
"1120516","Charlotte, NC","283814","0.1916756883066713"
"1132573","Research Triangle Park, NC","288174","0.1946202435471355"
"214340","Morrisville, NC","296838","0.2004715340524981"
"1042111","Raleigh, NC","299366","0.2021788358066021"
"1522361","Durham, NC","308630","0.2084353403358819"
"2177642","Wake Forest, NC","313038","0.2114123126982594"
"1450073","Burlington, NC","316606","0.2138219854271529"
"1453988","Charlotte, NC","318742","0.2152645473522977"
"1233314","Charlotte, NC","319790","0.2159723211807396"
"85283","Charlotte, NC","331702","0.2240171702689067"
"2736677","Huntersville, NC","333958","0.2255407749988350"
"961733","Raleigh, NC","341166","0.2304087461394922"
"282464","Raleigh, NC","350798","0.2369137819367744"
"3596772","Charlotte, NC","352950","0.2383671495692237"
"1757012","Hope Mills, NC","364470","0.2461472588284317"
"107114","Durham, NC","372654","0.2516743781146607"
"1598243","Charlotte, NC","375478","0.2535815854538971"
"1342380","Charlotte, NC","381038","0.2573365687421954"
"1521044","Durham, NC","399078","0.2695200037279690"
"1401198","Charlotte, NC","405190","0.2736477839182710"
"810957","Durham, NC","416526","0.2813036275434777"
"1552523","Raleigh, NC","417830","0.2821842926887909"
"332540","Durham, NC","438598","0.2962101007699741"
"1932598","Raleigh, NC","443878","0.2997759841804445"
"94724","Apex, NC","446422","0.3014940916418529"
"1334439","Fayetteville, NC","450006","0.3039145700780509"
"933592","Raleigh, NC","452478","0.3055840518565893"
"32380","Chapel Hill, NC","453998","0.3066105940505126"
"2096125","Greensboro, NC","459606","0.3103979944607242"
"364826","Winston-Salem, NC","465390","0.3143042576512849"
"203814","Greensboro, NC","467934","0.3160223651126933"
"1532072","Waxhaw, NC","469814","0.3172920357209669"
"3418210","Sanford, NC","471958","0.3187400004997639"
"1678371","Raleigh, NC","472326","0.3189885317677664"
"571563","Charlotte, NC","1292","0.0008725608648347"
"25330","Raleigh, NC","2364","0.0015965432542333"
"417872","Raleigh, NC","4092","0.0027635596431145"
"90647","Greenville, NC","10268","0.0069345626626343"
"1464699","Raleigh, NC","10612","0.0071668853696801"
"87298","Durham, NC","11444","0.0077287821495118"
"320417","Raleigh, NC","11836","0.0079935219784709"
"255562","Charlotte, NC","12804","0.0086472672703905"
"177284","Carrboro, NC","12876","0.0086958929532605"
"843953","Raleigh, NC","14028","0.0094739038791813"
"57348","Raleigh, NC","15500","0.0104680289511912"
"919971","Charlotte, NC","18308","0.0123644305831232"
"63386","Colington, NC","18876","0.0127480331924314"
"98959","Raleigh, NC","20588","0.0139042438740081"
"1093982","Durham, NC","26148","0.0176592271623064"
"804147","Asheville, NC","29268","0.0197663400866752"
"23","Cary, NC","35364","0.0238833145696728"
"2420","Cary, NC","37180","0.0251097623487285"
"33263","Durham, NC","38036","0.0256878676895169"
