Id,Location,Ranking,Percentile
"8985","Leesburg, VA","313","0.0002113866491434"
"492405","Alexandria, VA","657","0.0004437093561892"
"2206004","Lynchburg, VA","1209","0.0008165062581929"
"142794","Gainesville, VA","2129","0.0014378344281991"
"37815","Reston, VA","2193","0.0014810572574169"
"544198","Ashburn, VA","3801","0.0025670308415147"
"553995","Mclean, VA","7113","0.0048038122535370"
"12895","Sterling, VA","7305","0.0049334807411904"
"254973","Richmond, VA","9385","0.0063382226907696"
"596389","Richmond, VA","12729","0.0085966155174009"
"2484","Arlington, VA","13361","0.0090234409559268"
"2259721","Richmond, VA","16161","0.0109144397342066"
"4906","Blacksburg, VA","16713","0.0112872366362103"
"27581","Blacksburg, VA","17377","0.0117356734893452"
"1625","Alexandria, VA","19913","0.0134483780971014"
"1789724","Fairfax, VA","19953","0.0134753923653625"
"146574","Leesburg, VA","22753","0.0153663911436422"
"1212363","Reston, VA","23697","0.0160039278746051"
"207161","Richmond, VA","23993","0.0162038334597375"
"128459","Blacksburg, VA","24521","0.0165604218007846"
"1445356","Richmond, VA","24657","0.0166522703128725"
"1886","Richmond, VA","26729","0.0180516094087994"
"85800","Herndon, VA","33409","0.0225629922084096"
"501217","Fairfax, VA","34449","0.0232653631831992"
"78409","Fairfax, VA","34977","0.0236219515242463"
"415664","Richmond, VA","38449","0.0259667900093131"
"1971895","Winchester, VA","40385","0.0272742805931522"
"545129","Richmond, VA","42577","0.0287546624938626"
"385786","Richmond, VA","44289","0.0299108731754394"
"61980","Reston, VA","52353","0.0353569496568850"
"650335","Blacksburg, VA","53273","0.0359782778268912"
"291544","Portsmouth, VA","56065","0.0378638737515187"
"644186","Arlington, VA","56577","0.0382096563852612"
"210735","Charlottesville, VA","59945","0.0404842577728491"
"1076277","Reston, VA","60913","0.0411380030647687"
"807064","Centreville, VA","63961","0.0431964903062675"
"318145","Richmond, VA","66857","0.0451523233283739"
"196974","Arlington, VA","68953","0.0465678709852576"
"206351","Herndon, VA","71281","0.0481401013980559"
"586035","Arlington, VA","73393","0.0495664547622440"
"310275","Richmond, VA","74097","0.0500419058836400"
"40783","Reston, VA","77233","0.0521598245153133"
"1433996","Springfield, VA","80081","0.0540832404155064"
"401832","Alexandria, VA","86769","0.0586000260687688"
"561710","Hampton Roads, VA USA","90833","0.0613446757241005"
"1129040","Alexandria, VA","91705","0.0619335867721934"
"677283","Richmond, VA","93473","0.0631276174293357"
"444732","Reston, VA","93577","0.0631978545268147"
"24482","Springfield, VA","93953","0.0634517886484694"
"2002412","Arlington, VA","96593","0.0652347303537045"
"121546","Warrenton, VA","98265","0.0663639267670201"
"33659","Arlington, VA","99689","0.0673256347171167"
"116793","Fairfax, VA","100137","0.0676281945216414"
"218843","Christiansburg, VA","107097","0.0723286771990796"
"1118269","Blacksburg, VA","110993","0.0749598669277145"
"67838","Farmville, VA","117793","0.0795522925321081"
"100454","Herndon, VA","122809","0.0829398817720549"
"418772","Springfield, VA","128297","0.0866462393774832"
"2036650","Reston, VA","129121","0.0872027333036626"
"928191","Fairfax, VA","130017","0.0878078529127121"
"152202","Herndon, VA","133001","0.0898231173249931"
"500207","Arlington, VA","134961","0.0911468164697889"
"1102995","Richmond, VA","135193","0.0913034992257035"
"332394","New Castle, VA","136505","0.0921895672246688"
"1795821","Alexandria, VA","143441","0.0968738413411503"
"600292","Charlottesville, VA","148217","0.1000993449715303"
"577117","Richmond, VA","151025","0.1019957466034622"
"1864743","Burke, VA","152313","0.1028656060414709"
"632806","Reston, VA","152945","0.1032924314799969"
"485998","Arlington, VA","168545","0.1138279961018410"
"100806","Herndon, VA","170377","0.1150652495882012"
"659","Richmond, VA","172393","0.1164267687085626"
"160267","Chesapeake, VA","175473","0.1185068673646703"
"407668","Arlington, VA","180113","0.1216405224829624"
"23093","Reston, VA","185273","0.1251253630886493"
"244277","Richmond, VA","186689","0.1260816681850936"
"304689","Woodbridge, VA","187681","0.1267516220379699"
"585051","Portsmouth, VA","188609","0.1273783530616283"
"847211","Fairfax, VA","210569","0.1422091863369935"
"499601","Virginia Beach, VA","213097","0.1439164880910975"
"104365","Lorton, VA","213521","0.1442028393346655"
"1370627","Lynchburg, VA","215369","0.1454508985283302"
"39420","Gloucester, VA","217657","0.1469961146728673"
"126254","Alexandria, VA","219465","0.1482171595982708"
"1866581","The Pentagon, VA","225057","0.1519937543011780"
"1412834","Blacksburg, VA","232817","0.1572345223438389"
"254470","Centreville, VA","238457","0.1610435341686595"
"1913014","Fairfax, VA","241153","0.1628642958494602"
"185938","Richmond, VA","242625","0.1638584209214701"
"474690","Richmond, VA","255441","0.1725137924723390"
"532890","Stafford, VA","266865","0.1802290674877203"
"234293","Chesterfield, VA","267489","0.1806504900725940"
"751049","Chesapeake, VA","272361","0.1839408279468008"
"1647769","Sterling, VA","277889","0.1876741998204901"
"2566613","Farmville, VA, USA","284281","0.1919910798886201"
"341754","Fairfax, VA","288969","0.1951571521288256"
"2487257","Waynesboro, VA","289993","0.1958487173963107"
"3123195","Lynchburg, VA","290801","0.1963944056151858"
"766584","Richmond, VA","290969","0.1965078655418825"
"1014957","Norfolk, VA","306297","0.2068597331395509"
"1079526","Leesburg, VA","316209","0.2135538688146611"
"1630423","Farmville, VA","318497","0.2150990849591983"
"915204","Fairfax, VA, USA","322905","0.2180760573215758"
"204367","Vienna, VA","330905","0.2234789109738035"
"456328","Arlington, VA","334009","0.2255752181908679"
"935605","Norfolk, VA","340393","0.2298866954053457"
"16099","Arlington, VA","354361","0.2393200778821353"
"1396462","Richmond, VA","357073","0.2411516452702406"
"415062","Richmond, VA","366057","0.2472190499216923"
"1149580","Richmond,VA","380521","0.2569874093249201"
"336845","Alexandria, VA","381873","0.2579004915921466"
"1739692","Reston, VA","403529","0.2725260164287272"
"2306308","Fairfax, VA","406409","0.2744710437435292"
"318641","Alexandria, VA","406945","0.2748330349382284"
"977224","Centreville, VA","412113","0.2783232783975676"
"1676197","Blacksburg, VA","413881","0.2795173090547099"
"1299566","Falls Church, VA","420793","0.2841853746102347"
"1868895","Chesapeake, VA","425609","0.2874378925088758"
"177397","Arlington, VA","467953","0.3160351968901174"
"320914","Aldie, VA","469809","0.3172886589374342"
"1984095","Harrisonburg, VA","473905","0.3200549200073748"
"756373","Richmond, VA","480097","0.3242367287341991"
"1348538","GVA, CH","481585","0.3252416595135135"
"661599","Virginia Polytechnic Institute and State University, VA","489625","0.3306715274340024"
"984711","Charlottesville, VA","495201","0.3344373164296052"
"2383389","Richmond, VA","497953","0.3362958980859715"
"3435370","Fredericksburg, VA","502073","0.3390783677168688"
"1617864","Virginia Beach, VA","531113","0.3586907264744556"
"430010","Charlottesville, VA","533193","0.3600954684240348"
"1288869","Blacksburg, VA","537905","0.3632777492251970"
"276228","Mclean, VA","543953","0.3673623065862812"
"126647","Richmond, VA","545857","0.3686481857555114"
"39466","North, VA","602945","0.4072029494178087"
"3415580","Bristow, VA","604433","0.4082078801971231"
"555142","Midlothian, VA","609025","0.4113091181935018"
"256793","Richmond, VA","2159","0.0014580951293949"
"683201","Fairfax, VA","3239","0.0021874803724457"
"23921","Alexandria, VA","3407","0.0023009402991424"
"495935","Waynesboro, VA","5071","0.0034247338588058"
"19235","Fairfax, VA","6143","0.0041487162482043"
"45725","Midlothian, VA","9455","0.0063854976602266"
"202085","Fredericksburg, VA, USA, 22407","10911","0.0073688170249321"
"375722","Alexandria, VA","11271","0.0076119454392823"
"6688","Centreville, VA","14967","0.0101080638266116"
"82114","Arlington VA","18967","0.0128094906527255"
"320830","Blacksburg, VA","19575","0.0132201075302948"
"1753","Hampton, VA","21479","0.0145059866995250"
"386685","VA","22823","0.0154136661130992"
"212","Richmond, VA","23527","0.0158891172344953"
"673709","Lynchburg, VA USA","23999","0.0162078855999767"
"1750","Fairfax, VA","33751","0.0227939642020424"
"465323","Virginia Beach, VA","34975","0.0236206008108332"
"204371","Leesburg, VA","35463","0.0239501748836191"
"2686480","Leesburg, VA","43431","0.0293314171212380"
"5840","Sterling, VA","44607","0.0301256366081154"
"659732","Arlington, VA","55479","0.0374681147214930"
"1210055","Charlottesville, VA","56063","0.0378625230381056"
"224192","Arlington, VA","56711","0.0383001541839361"
"2287940","Charlottesville, VA","62679","0.0423306830084980"
"1240283","Arlington, VA","64559","0.0436003536167715"
"176643","Richmond, VA","65727","0.0443891702499967"
"367697","Manassas, VA","70183","0.0473985597342876"
"438186","Arlington, VA","79815","0.0539035955315698"
"67538","Leesburg, VA","80231","0.0541845439214857"
"229856","Reston, VA","82183","0.0555028402126293"
"18144","Fairfax, VA","83759","0.0565672023821181"
"665456","Falls Church, VA","85015","0.0574154504055179"
"2643733","Reston, VA","85943","0.0580421814291763"
"1940","Mclean, VA","89207","0.0602465457192852"
"214084","Charlottesville, VA","90791","0.0613163107424263"
"715608","Lynchburg, VA","94599","0.0638880690808867"
"243215","Richmond, VA","99567","0.0672432411989202"
"573239","Falls Church, VA","101479","0.0685345232218026"
"1576979","Blacksburg, VA","101511","0.0685561346364115"
"1836186","Richmond, VA","106999","0.0722624922418398"
"567217","NoVA","112855","0.0762173811152705"
"59556","Centreville, VA","113695","0.0767846807487544"
"1123805","Harrisonburg, VA","113799","0.0768549178462334"
"1497154","Richmond, VA","115951","0.0783082854786827"
"1446848","Fairfax, VA","117023","0.0790322678680812"
"94657","Woodbridge, VA","118079","0.0797454445501752"
"835677","Ashburn, VA","119015","0.0803775784274859"
"446969","Herndon, VA","123287","0.0832627022777755"
"686804","Farmville, VA","129719","0.0876065966141666"
"419691","Vienna, VA","135727","0.0916641397069897"
"572408","Norfolk, VA","140415","0.0948302119471952"
"253365","Blacksburg, VA","145327","0.0981475640896630"
"319020","NoVA","148847","0.1005248196966432"
"185057","Herndon, VA","149623","0.1010488965009093"
"498341","Virginia Beach, VA","160367","0.1083049289558512"
"224254","Ashburn, VA","164295","0.1109577300990950"
"1398627","Alexandria, VA","169079","0.1141886365831272"
"319016","Springfield, VA","170623","0.1152313873380072"
"942841","Lynchburg, VA","171311","0.1156960327520988"
"1541708","Richmond, VA","188047","0.1269988025925593"
"891615","Fredericksburg, VA","195743","0.1321963478060024"
"1689150","Abingdon, VA","199663","0.1348437460955940"
"1405746","Leesburg, VA","203631","0.1375235615070990"
"133388","Herndon, VA","207271","0.1399818599188626"
"198371","Charlottesville, VA","210119","0.1419052758190557"
"1602022","Chantilly, VA","211087","0.1425590211109752"
"755046","Blacksburg, VA","212671","0.1436287861341163"
"2246310","Alexandria, VA","214559","0.1449038595960421"
"3490467","Lynchburg, VA","214807","0.1450713480592612"
"620192","Fairfax, VA","218975","0.1478862348120718"
"100943","Christiansburg, VA","223959","0.1512522126374097"
"3442661","Arlington, VA","226407","0.1529054858549914"
"843697","Falls Church, VA","228271","0.1541643507559605"
