"","State or territory","Population estimate for
July 1, 2013"
"1"," California",38332521
"2"," Texas",26448193
"3"," New York",19651127
"4"," Florida",19552860
"5"," Illinois",12882135
"6"," Pennsylvania",12773801
"7"," Ohio",11570808
"8"," Georgia",9992167
"9"," Michigan",9895622
"10"," North Carolina",9848060
"11"," New Jersey",8899339
"12"," Virginia",8260405
"13"," Washington",6971406
"14"," Massachusetts",6692824
"15"," Arizona",6626624
"16"," Indiana",6570902
"17"," Tennessee",6495978
"18"," Missouri",6044171
"19"," Maryland",5928814
"20"," Wisconsin",5742713
"21"," Minnesota",5420380
